id,name,cargo_type,weight,loading_port,discharging_port,ready_date,deadline,priority,handling_instructions
C001,电子产品,normal,8000,SHA,SZX,2026-06-08,2026-06-20,5,轻拿轻放，防潮
C002,化工原料,dangerous,12000,NGB,GZH,2026-06-10,2026-06-25,4,危险品，需隔离存放
C003,海鲜产品,refrigerated,5000,QDO,SHA,2026-06-09,2026-06-15,5,全程冷链-18°C
C004,铁矿石,bulk,30000,TJG,NGB,2026-06-08,2026-06-30,2,散装运输
C005,服装,normal,3000,SHA,QDO,2026-06-12,2026-06-22,3,防雨防潮
C006,原油,liquid,25000,SZX,TJG,2026-06-11,2026-06-28,4,液货舱运输
C007,医疗器械,normal,4000,GZH,SHA,2026-06-10,2026-06-18,5,精密仪器，防震
C008,烟花爆竹,dangerous,2000,NGB,SZX,2026-06-15,2026-07-05,3,一级危险品，单独运输
C009,水果,refrigerated,6000,SHA,GZH,2026-06-08,2026-06-14,4,冷链0-4°C
C010,钢材,bulk,18000,QDO,TJG,2026-06-09,2026-06-25,2,注意防锈
C011,玩具,normal,2500,NGB,SHA,2026-06-13,2026-06-20,1,普通包装
C012,医药试剂,refrigerated,1500,SZX,QDO,2026-06-14,2026-06-18,5,2-8°C冷链运输
C013,煤炭,bulk,40000,TJG,GZH,2026-06-08,2026-07-05,1,散装
C014,家具,normal,3500,GZH,NGB,2026-06-11,2026-06-25,2,大件运输
C015,油漆,dangerous,3000,SHA,SZX,2026-06-12,2026-06-22,3,易燃液体，防火
